"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000146414",50,39,70,2717,1388,1870,9.32055342570491e-11,"SHPRH",203,250
"ENSG00000213275",28,30,92,1,4,3,9.32055342570491e-11,"IFITM9P",204,3371
"ENSG00000166004",54,37,60,2036,1489,1496,1.01441151963476e-10,"CEP295",205,201
"ENSG00000112303",7088,11626,172220,391,1176,86,1.0696536261932e-10,"VNN2",206,124
"ENSG00000162545",90,41,174,15,6,3,1.11369535719525e-10,"CAMK2N1",207,346
"ENSG00000148344",77,18,147,3,1,3,1.12909832527275e-10,"PTGES",208,165
"ENSG00000110047",4383,3914,15578,2321,2082,1850,1.17470406375516e-10,"EHD1",209,243
"ENSG00000146263",61,39,93,2120,1723,1540,1.23616643663649e-10,"MMS22L",210,149
"ENSG00000139112",2177,1537,4011,825,788,330,1.28947849285767e-10,"GABARAPL1",211,175
"ENSG00000158022",41,66,74,9,12,4,1.30330922036761e-10,"TRIM63",212,827
"ENSG00000100284",5714,3033,6825,1653,2006,1066,1.34189406482728e-10,"TOM1",213,294
"ENSG00000157657",47,14,31,4181,1920,2712,1.34953110855227e-10,"ZNF618",214,186
"ENSG00000260852",10,13,13,626,495,696,1.35198443212801e-10,"FBXL19-AS1",215,28
"ENSG00000242094",1,0,7,432,676,620,1.37616984843335e-10,"FOXP1-IT1",216,33
"ENSG00000244734",2892707,5422362,1555212,55090,304,7160,1.39242719967569e-10,"HBB",217,138
"ENSG00000160570",2080,1211,4448,786,960,684,1.45785024716197e-10,"DEDD2",218,114
"ENSG00000260592",107,66,47,4,0,2,1.60166386325381e-10,"AC130456.3",219,-98
"ENSG00000105287",4435,3328,3716,1598,1169,1253,1.75009781813064e-10,"PRKD2",220,243
"ENSG00000250802",1,2,4,312,329,287,2.00967376041251e-10,"ZBED3-AS1",221,120
"ENSG00000144407",8,5,16,573,492,1018,2.06544200659663e-10,"PTH2R",222,170
"ENSG00000269981",1053,543,3377,11,119,25,2.07491321974148e-10,"AL627309.7",223,650
"ENSG00000109472",39,147,397,5,0,0,2.19205944894554e-10,"CPE",224,646
"ENSG00000118495",158,127,245,8284,4288,4741,2.1927459489487e-10,"PLAGL1",225,337
"ENSG00000117984",4713,4517,15234,2670,2606,1562,2.35521926928714e-10,"CTSD",226,-151
"ENSG00000164047",859,153,319,22,10,1,2.52567830322768e-10,"CAMP",227,207
"ENSG00000105374",11686,8884,6564,1815,448,533,2.61376596206978e-10,"NKG7",228,194
"ENSG00000147454",26666,37688,76053,10910,2498,3012,2.63540438277819e-10,"SLC25A37",229,277
"ENSG00000172354",6323,7499,24120,2722,4000,2066,2.80758797277138e-10,"GNB2",230,208
"ENSG00000178814",133,309,5062,32,29,28,2.80758797277138e-10,"OPLAH",231,291
"ENSG00000257335",1760,4390,40021,405,492,98,2.80758797277138e-10,"MGAM",232,191
"ENSG00000221983",29587,26382,18712,5671,6609,6688,2.86468047174095e-10,"UBA52",233,223
"ENSG00000120306",774,1480,29938,115,213,127,2.88056296339465e-10,"CYSTM1",234,212
"ENSG00000145901",5970,4502,12262,4105,3972,3270,2.88056296339465e-10,"TNIP1",235,261
"ENSG00000223722",55,35,114,5,11,2,3.23676338337831e-10,"IFITM3P2",236,1968
"ENSG00000171051",18161,30305,173947,1182,1510,35,3.31217714472366e-10,"FPR1",237,170
"ENSG00000116991",600,580,4521,91,187,136,3.35445752657176e-10,"SIPA1L2",238,296
"ENSG00000172469",19,29,49,876,1084,1126,3.49029669648947e-10,"MANEA",239,235
"ENSG00000136824",51,81,83,2424,3440,2290,3.52942075199022e-10,"SMC2",240,187
"ENSG00000267041",10,17,10,816,715,880,3.64274902860022e-10,"ZNF850",241,403
"ENSG00000225720",20,70,87,6,4,4,3.85836955965989e-10,"AL031846.1",242,1437
"ENSG00000169583",378,473,76,23,19,16,4.0176471913267e-10,"CLIC3",243,229
"ENSG00000125498",114,262,96,13,3,1,4.04054579190962e-10,"KIR2DL1",244,112
"ENSG00000100100",2718,2766,2397,1049,616,509,4.07748465212307e-10,"PIK3IP1",245,254
"ENSG00000127914",397,270,728,10435,10283,11945,4.4022033633575e-10,"AKAP9",246,247
"ENSG00000171877",1,1,3,322,285,316,4.66099242497362e-10,"FRMD5",247,188
"ENSG00000117298",2182,3117,14838,1109,552,421,4.67111897576292e-10,"ECE1",248,222
"ENSG00000136982",8,7,10,363,457,383,4.6776617447189e-10,"DSCC1",249,121
"ENSG00000168899",292,446,1180,106,198,119,4.78230391221326e-10,"VAMP5",250,130
