"GTExN7MScountsPUBLISHED","GTExN7MScountsREPROCESSED","GTExNFK9countsPUBLISHED","GTExNFK9countsREPROCESSED","GTExO5YTcountsPUBLISHED","GTExO5YTcountsREPROCESSED"
0,0,0,0,0,0
23,14,11,9,71,45
13,7,1,0,22,12
0,0,0,0,0,0
25,39,9,6,21,27
2,5,0,3,6,7
0,3,1,2,3,7
227,132,1466,870,2359,1324
2,1,0,0,0,0
97,57,294,180,294,189
0,0,0,2,2,1
3972,2372,2030,1219,1064,654
573,326,472,266,206,112
4642,2042,2239,1131,12000,6198
0,0,0,0,1,0
1404,1051,884,548,1721,913
256,149,140,89,193,128
4,4,0,2,1,0
24,10,1,1,0,0
0,0,0,0,0,0
0,0,1,1,3,4
586,362,361,219,868,511
1276,760,836,483,684,391
17,17,32,18,20,12
6,3,2,1,0,0
8,4,0,2,0,0
2,1,0,1,26,20
5,4,8,8,30,17
67,39,10,11,16,14
0,0,0,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
2,1,1,0,0,0
2177,1181,2709,1527,6197,3460
53,35,78,42,371,210
0,0,0,0,0,1
96,33,93,33,30,6
0,0,0,0,0,0
0,0,0,0,1,0
151,95,177,102,91,56
2,1,0,1,0,2
0,0,0,0,0,0
2,1,0,0,1,0
2,1,0,0,0,0
120,64,212,125,685,377
3,13,0,2,0,1
37,25,21,14,132,82
2348,1584,1819,1130,8612,4966
612,346,1738,1008,1262,705
5,4,0,0,1,2
0,1,0,0,0,0
204,123,129,77,663,423
1,1,0,0,0,0
171,104,142,77,395,252
1,1,0,1,2,1
176,38,158,33,202,31
1,1,2,1,16,6
0,0,0,0,0,0
41,23,81,44,195,105
4,6,0,0,0,0
1177,528,1133,277,5506,1064
5,2,5,0,312,50
6,3,0,0,2,2
2,1,0,1,1,0
1452,821,870,497,3908,2164
128,88,221,140,304,183
8,6,0,1,1,1
544,279,351,187,1057,507
807,472,865,466,3132,1511
44,29,48,34,74,65
390,224,389,229,409,243
0,0,0,0,1,0
0,1,132,72,1,1
0,0,0,0,0,0
6,6,3,2,27,17
0,0,0,0,0,0
5,14,4,9,8,11
0,0,0,0,0,0
125,101,193,139,337,207
41,26,101,53,37,25
0,0,0,0,0,0
5,3,0,0,1,3
1,1,0,0,1,0
1662,941,709,412,1027,574
13,9,0,0,12,8
511,321,645,423,1514,1105
0,0,0,0,0,0
57,45,8,7,38,26
0,0,0,0,0,0
637,342,505,292,905,512
0,0,4,0,0,0
0,0,6,0,0,0
3,11,19,13,29,29
1711,1065,535,305,5174,2765
88,53,130,74,253,149
84,1,130,0,711,0
8,5,4,2,4,2
778,427,834,478,549,304
306,253,184,129,264,148
5509,3363,3717,2266,2723,1619
77,58,149,95,131,103
592,412,1413,961,11891,7478
0,0,2,0,0,0
47,28,39,24,81,51
25,16,72,46,174,99
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12,11,45,31,39,31
329,202,252,145,115,73
40432,23694,29234,16966,114859,63802
1301,749,1191,718,1852,1038
0,0,0,1,0,0
199,37,102,36,20,8
203,207,328,286,592,503
124,77,102,66,354,204
223,130,227,137,282,162
0,0,0,0,1,0
0,0,0,0,0,0
91,66,68,62,181,144
10,6,10,8,53,31
39,24,10,6,7,4
2150,1422,1400,847,3088,1822
14,19,4,2,50,47
