"rank_change","symbol","rank","padj","gene"
1506,"GCSAML",3751,0.000691024740292446,"ENSG00000169224"
1207,"SYAP1",3752,0.000691024740292446,"ENSG00000169895"
-545,"AL353804.2",3753,0.000691360309733018,"ENSG00000271199"
3707,"FLT1P1",3754,0.000693924806797612,"ENSG00000229515"
310,"HACD1",3755,0.000694665803032249,"ENSG00000165996"
-470,"AP001893.1",3756,0.000694665803032249,"ENSG00000254694"
5781,"CPLX2",3757,0.000697349689191735,"ENSG00000145920"
5578,"TMEM151B",3758,0.000697349689191735,"ENSG00000178233"
2239,"PELATON",3759,0.000697349689191735,"ENSG00000224397"
6093,"AL513320.1",3760,0.000697349689191735,"ENSG00000238260"
2066,"DCAF13",3761,0.000697367708365368,"ENSG00000164934"
899,"TMEM154",3762,0.000699086591627472,"ENSG00000170006"
1073,"GRAP2",3763,0.000700143124570128,"ENSG00000100351"
-354,"AC018752.1",3764,0.000701649587835374,"ENSG00000250015"
793,"IL2RB",3765,0.000701838620080565,"ENSG00000100385"
2114,"TBC1D5",3766,0.000702594352533311,"ENSG00000131374"
522,"KCTD11",3767,0.000702594352533311,"ENSG00000213859"
-3539,"MFSD14C",3768,0.000703917245803086,"ENSG00000196312"
1435,"SELENOO",3769,0.000704984209579163,"ENSG00000073169"
4283,"PHOSPHO2",3770,0.000705697212892522,"ENSG00000144362"
NA,"AC020915.4",3771,0.000705697212892522,"ENSG00000283515"
996,"UBN2",3772,0.000706318197290247,"ENSG00000157741"
-1432,"ATP5PBP1",3773,0.000711518092645316,"ENSG00000224451"
-2012,"AC053513.2",3774,0.000711518092645316,"ENSG00000256973"
-378,"AC004223.2",3775,0.000711730367743911,"ENSG00000267457"
1367,"INKA1",3776,0.000711996665686597,"ENSG00000185614"
-809,"AL161725.1",3777,0.000712565268838416,"ENSG00000227155"
537,"CLDN9",3778,0.000712959482757924,"ENSG00000213937"
-699,"ADCY6",3779,0.0007147398142936,"ENSG00000174233"
2880,"GTF2I",3780,0.0007147398142936,"ENSG00000263001"
1277,"UBASH3A",3781,0.000714949232900373,"ENSG00000160185"
359,"ANAPC16",3782,0.000716207266775263,"ENSG00000166295"
2544,"DDI2",3783,0.000716207266775263,"ENSG00000197312"
-1599,"AC007347.1",3784,0.000716207266775263,"ENSG00000261049"
925,"NFE2",3785,0.000716513916342672,"ENSG00000123405"
945,"ZDHHC23",3786,0.000718776043480922,"ENSG00000184307"
6769,"RGS5",3787,0.000718969903453741,"ENSG00000143248"
1974,"KLHL13",3788,0.000719510115651791,"ENSG00000003096"
-385,"LDHAL6FP",3789,0.00072111412146968,"ENSG00000217783"
-379,"AC005757.1",3790,0.000723564929952577,"ENSG00000267044"
-353,"AL133406.1",3791,0.000723890836727696,"ENSG00000216639"
1656,"EIF3E",3792,0.00072409810222297,"ENSG00000104408"
1198,"IL1RL1",3793,0.00072409810222297,"ENSG00000115602"
-151,"PCDHGA9",3794,0.000724478831689415,"ENSG00000261934"
-1622,"AC007938.2",3795,0.000727045191897968,"ENSG00000270823"
-693,"AP001442.1",3796,0.000728529129558494,"ENSG00000233783"
-357,"AC010487.1",3797,0.000731809438565408,"ENSG00000269646"
-379,"DUX4L50",3798,0.00073236492700786,"ENSG00000232815"
2546,"GOLGA8R",3799,0.000732973996833483,"ENSG00000186399"
-1084,"MBD6",3800,0.000733725313425114,"ENSG00000166987"
305,"BIVM",3801,0.000734032143622052,"ENSG00000134897"
