"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000119969",46,43,37,3249,3100,1897,5.5607999307586e-12,"HELLS",140,148
"ENSG00000173846",2059,2280,2797,1147,1027,781,5.62768318980428e-12,"PLK3",141,122
"ENSG00000196923",3941,2984,6768,1489,542,666,5.70490795232479e-12,"PDLIM7",142,243
"ENSG00000013306",46603,39787,9269,2592,1334,1139,6.39516635303979e-12,"SLC25A39",143,146
"ENSG00000144792",8,4,13,703,620,1375,6.39516635303979e-12,"ZNF660",144,172
"ENSG00000170525",10437,5449,42112,1594,1850,668,6.51694935515565e-12,"PFKFB3",145,158
"ENSG00000168878",157,111,140,35,28,17,6.56872908760583e-12,"SFTPB",146,1813
"ENSG00000177791",232,81,50,3,2,3,6.7927800267255e-12,"MYOZ1",147,374
"ENSG00000186439",51,44,64,0,3,2,6.99161750969142e-12,"TRDN",148,837
"ENSG00000243772",145,150,50,6,7,5,7.07900134507183e-12,"KIR2DL3",149,49
"ENSG00000173894",5,4,4,2443,429,1227,7.93778266170735e-12,"CBX2",150,108
"ENSG00000116641",43,20,80,2163,1919,2170,8.27644951759811e-12,"DOCK7",151,203
"ENSG00000227507",1823,711,1382,265,125,92,8.75019137391235e-12,"LTB",152,227
"ENSG00000118276",11,3,21,1768,926,3220,9.17409360689796e-12,"B4GALT6",153,-39
"ENSG00000185900",81,96,139,5302,5647,2724,9.3835130196827e-12,"POMK",154,-131
"ENSG00000124731",4815,6288,11943,1085,1958,570,9.49812828618989e-12,"TREM1",155,385
"ENSG00000105501",192,124,752,34,44,18,9.85592035976926e-12,"SIGLEC5",156,-90
"ENSG00000185480",9,6,8,466,602,558,9.9540389549409e-12,"PARPBP",157,333
"ENSG00000131669",6534,3649,6475,1034,629,219,1.10520756900021e-11,"NINJ1",158,163
"ENSG00000152137",24,79,89,2,2,2,1.10520756900021e-11,"HSPB8",159,398
"ENSG00000169180",17305,16605,91204,6087,4912,3518,1.10520756900021e-11,"XPO6",160,185
"ENSG00000206172",146011,76520,9166,253,0,34,1.10520756900021e-11,"HBA1",161,16
"ENSG00000134986",4,1,8,680,425,993,1.3297782514567e-11,"NREP",162,12387
"ENSG00000223960",68,48,76,2354,2199,3202,1.35255414369814e-11,"CHROMR",163,43
"ENSG00000178852",16,5,12,823,865,1079,1.57039273509548e-11,"EFCAB13",164,296
"ENSG00000029153",3,7,18,630,764,586,1.73779816354077e-11,"ARNTL2",165,340
"ENSG00000142546",918,1070,2624,678,481,558,1.93275276665264e-11,"NOSIP",166,302
